"","variable","point_estimate","p_value"
"1",bicycle,2.94155444612049,NA
"2",building,2.45970270322921,NA
"3",bus,2.75612070802389,NA
"4",car,2.75017152232781,NA
"5",fence,2.80951574138093,NA
"6",motorcycle,2.8298489402907,NA
"7",pole,2.58997929825003,NA
"8",rider,2.63470218051354,NA
"9",road,5.66222069508422,NA
"10",sky,5.04078236114604,NA
"11",terrain,4.04441153538182,NA
"12",traffic.light,4.08283264994694,NA
"13",traffic.sign,4.11569764694875,NA
"14",train,4.14639059776758,NA
"15",truck,4.45982296283395,NA
"16",vegetation,4.17362361190399,NA
"17",wall,4.19440726863253,NA
"18",visual_complexity,2.51987036020887,NA
"19",person_count,3.14038201626784,NA
"20",bicycle_count,3.07802765216554,NA
"21",vehicle_count,3.10419683224651,NA
"22",IMD_score,3.02533196919066,NA
"23",poi,2.94616622617288,NA
"24",slope,3.01257376481584,NA
